statement_id,variant_type,top1,top2,top3,gap12,gap13,gap23,mean,std,min,max,range,cv,rank_baseline,found_baseline,recall@1_baseline,recall@5_baseline,mrr_baseline,best_k,rule_k,confidence,RCS_baseline,CRCS,selected_k,RCS_adaptive,rank_adaptive,found_adaptive,recall@1_adaptive,recall@5_adaptive,recall@10,mrr_adaptive
288,wording,0.8389153480529785,0.8370717763900757,0.8352766633033752,0.001843571662902832,0.0036386847496032715,0.0017951130867004395,0.8312871873378753,0.004249614635464153,0.8258708715438843,0.8389153480529785,0.013044476509094238,0.005112089660702186,1.0,True,1.0,1.0,1.0,1,10,1,0.9117334513691945,0.7430835096985265,5,0.7430835096985265,1.0,True,1,1,1,1.0
289,original,0.8359732627868652,0.773887038230896,0.7731822729110718,0.06208622455596924,0.06279098987579346,0.0007047653198242188,0.7723025679588318,0.02206752122946838,0.7580596208572388,0.8359732627868652,0.07791364192962646,0.028573673253207036,1.0,True,1.0,1.0,1.0,1,1,1,1.0,0.9669841269841271,3,0.9669841269841271,1.0,True,1,1,1,1.0
289,biomarker_synonym,0.8359732627868652,0.773887038230896,0.7731822729110718,0.06208622455596924,0.06279098987579346,0.0007047653198242188,0.7723025679588318,0.02206752122946838,0.7580596208572388,0.8359732627868652,0.07791364192962646,0.028573673253207036,1.0,True,1.0,1.0,1.0,1,1,1,1.0,0.9669841269841271,3,0.9669841269841271,1.0,True,1,1,1,1.0
289,biomarker_order,0.8359732627868652,0.773887038230896,0.7731822729110718,0.06208622455596924,0.06279098987579346,0.0007047653198242188,0.7723025679588318,0.02206752122946838,0.7580596208572388,0.8359732627868652,0.07791364192962646,0.028573673253207036,1.0,True,1.0,1.0,1.0,1,1,1,1.0,0.9669841269841271,3,0.9669841269841271,1.0,True,1,1,1,1.0
289,wording,0.8269510865211487,0.765612781047821,0.7632341980934143,0.06133830547332764,0.06371688842773438,0.0023785829544067383,0.7655135452747345,0.020920847564634627,0.7523739337921143,0.8269510865211487,0.07457715272903442,0.027329167058861594,1.0,True,1.0,1.0,1.0,1,1,1,0.9966666666666667,0.9571075837742505,3,0.9571075837742505,1.0,True,1,1,1,1.0
290,original,0.835476815700531,0.8314013481140137,0.8283828496932983,0.004075467586517334,0.007093966007232666,0.003018498420715332,0.8213430047035217,0.008517783719550514,0.8098616600036621,0.835476815700531,0.025615155696868896,0.010370556114525087,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.9265732326292122,3,0.9265732326292122,1.0,True,1,1,1,1.0
290,biomarker_synonym,0.835476815700531,0.8314013481140137,0.8283828496932983,0.004075467586517334,0.007093966007232666,0.003018498420715332,0.8213430047035217,0.008517783719550514,0.8098616600036621,0.835476815700531,0.025615155696868896,0.010370556114525087,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.9265732326292122,3,0.9265732326292122,1.0,True,1,1,1,1.0
290,biomarker_order,0.835476815700531,0.8314013481140137,0.8283828496932983,0.004075467586517334,0.007093966007232666,0.003018498420715332,0.8213430047035217,0.008517783719550514,0.8098616600036621,0.835476815700531,0.025615155696868896,0.010370556114525087,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.9265732326292122,3,0.9265732326292122,1.0,True,1,1,1,1.0
290,wording,0.8379034399986267,0.8361389636993408,0.8335281610488892,0.0017644762992858887,0.004375278949737549,0.00261080265045166,0.8239780187606811,0.010011559810036517,0.8104043006896973,0.8379034399986267,0.027499139308929443,0.012150275349692681,1.0,True,1.0,1.0,1.0,1,10,1,0.9880131947420991,0.9101724035763151,3,0.9101724035763151,1.0,True,1,1,1,1.0
291,original,0.8335230350494385,0.8313174247741699,0.8254880905151367,0.0022056102752685547,0.008034944534301758,0.005829334259033203,0.8170211136341095,0.010626328476093738,0.8044071197509766,0.8335230350494385,0.029115915298461914,0.013006185885243327,2.0,True,0.0,1.0,0.5,3,10,1,1.0,0.9669841269841271,3,0.9669841269841271,2.0,True,0,1,1,0.5
291,biomarker_synonym,0.8335230350494385,0.8313174247741699,0.8254880905151367,0.0022056102752685547,0.008034944534301758,0.005829334259033203,0.8170211136341095,0.010626328476093738,0.8044071197509766,0.8335230350494385,0.029115915298461914,0.013006185885243327,2.0,True,0.0,1.0,0.5,3,10,1,1.0,0.9669841269841271,3,0.9669841269841271,2.0,True,0,1,1,0.5
291,biomarker_order,0.8335230350494385,0.8313174247741699,0.8254880905151367,0.0022056102752685547,0.008034944534301758,0.005829334259033203,0.8170211136341095,0.010626328476093738,0.8044071197509766,0.8335230350494385,0.029115915298461914,0.013006185885243327,2.0,True,0.0,1.0,0.5,3,10,1,1.0,0.9669841269841271,3,0.9669841269841271,2.0,True,0,1,1,0.5
291,wording,0.8368173837661743,0.834078311920166,0.8285635113716125,0.0027390718460083008,0.008253872394561768,0.005514800548553467,0.8192097842693329,0.011420412125076964,0.8053064942359924,0.8368173837661743,0.031510889530181885,0.013940766265704485,2.0,True,0.0,1.0,0.5,3,10,1,0.9882203810223725,0.9364497758390888,3,0.9364497758390888,2.0,True,0,1,1,0.5
292,original,0.8348325490951538,0.830162525177002,0.8275775909423828,0.0046700239181518555,0.007254958152770996,0.0025849342346191406,0.8209084689617157,0.008492505824195338,0.8085867166519165,0.8348325490951538,0.026245832443237305,0.01034525302794921,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.9571075837742505,3,0.9571075837742505,1.0,True,1,1,1,1.0
292,biomarker_synonym,0.8348325490951538,0.830162525177002,0.8275775909423828,0.0046700239181518555,0.007254958152770996,0.0025849342346191406,0.8209084689617157,0.008492505824195338,0.8085867166519165,0.8348325490951538,0.026245832443237305,0.01034525302794921,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.9571075837742505,3,0.9571075837742505,1.0,True,1,1,1,1.0
292,biomarker_order,0.8348325490951538,0.830162525177002,0.8275775909423828,0.0046700239181518555,0.007254958152770996,0.0025849342346191406,0.8209084689617157,0.008492505824195338,0.8085867166519165,0.8348325490951538,0.026245832443237305,0.01034525302794921,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.9571075837742505,3,0.9571075837742505,1.0,True,1,1,1,1.0
292,wording,0.8367945551872253,0.8345682621002197,0.8324220776557922,0.0022262930870056152,0.0043724775314331055,0.0021461844444274902,0.8233193576335907,0.009980421521472885,0.8099064826965332,0.8367945551872253,0.02688807249069214,0.01212217522755558,1.0,True,1.0,1.0,1.0,1,10,1,0.994287033372906,0.9364497758390888,3,0.9364497758390888,1.0,True,1,1,1,1.0
293,original,0.8320025205612183,0.8305798768997192,0.8241691589355469,0.0014226436614990234,0.007833361625671387,0.006410717964172363,0.8163537502288818,0.010310078575462952,0.8034886121749878,0.8320025205612183,0.02851390838623047,0.012629425139006596,2.0,True,0.0,1.0,0.5,3,10,1,0.9770424270763626,0.9496870639476734,3,0.9496870639476734,2.0,True,0,1,1,0.5
293,biomarker_synonym,0.8320025205612183,0.8305798768997192,0.8241691589355469,0.0014226436614990234,0.007833361625671387,0.006410717964172363,0.8163537502288818,0.010310078575462952,0.8034886121749878,0.8320025205612183,0.02851390838623047,0.012629425139006596,2.0,True,0.0,1.0,0.5,3,10,1,0.9770424270763626,0.9496870639476734,3,0.9496870639476734,2.0,True,0,1,1,0.5
293,biomarker_order,0.8320025205612183,0.8305798768997192,0.8241691589355469,0.0014226436614990234,0.007833361625671387,0.006410717964172363,0.8163537502288818,0.010310078575462952,0.8034886121749878,0.8320025205612183,0.02851390838623047,0.012629425139006596,2.0,True,0.0,1.0,0.5,3,10,1,0.9770424270763626,0.9496870639476734,3,0.9496870639476734,2.0,True,0,1,1,0.5
293,wording,0.8355451822280884,0.8337501287460327,0.8282619714736938,0.001795053482055664,0.007283210754394531,0.005488157272338867,0.8190418779850006,0.011293940682833393,0.8047873973846436,0.8355451822280884,0.030757784843444824,0.013789210278989205,2.0,True,0.0,1.0,0.5,3,10,1,0.9550571759785269,0.9475361300468874,3,0.9475361300468874,2.0,True,0,1,1,0.5
294,original,0.8389825224876404,0.8322011232376099,0.8290996551513672,0.006781399250030518,0.009882867336273193,0.0031014680862426758,0.8239067316055297,0.007189685814664715,0.8149874806404114,0.8389825224876404,0.023995041847229004,0.008726334594516938,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9669841269841271,3,0.9669841269841271,3.0,True,0,1,1,0.3333333333333333
294,biomarker_synonym,0.8389825224876404,0.8322011232376099,0.8290996551513672,0.006781399250030518,0.009882867336273193,0.0031014680862426758,0.8239067316055297,0.007189685814664715,0.8149874806404114,0.8389825224876404,0.023995041847229004,0.008726334594516938,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9669841269841271,3,0.9669841269841271,3.0,True,0,1,1,0.3333333333333333
294,biomarker_order,0.8389825224876404,0.8322011232376099,0.8290996551513672,0.006781399250030518,0.009882867336273193,0.0031014680862426758,0.8239067316055297,0.007189685814664715,0.8149874806404114,0.8389825224876404,0.023995041847229004,0.008726334594516938,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9669841269841271,3,0.9669841269841271,3.0,True,0,1,1,0.3333333333333333
294,wording,0.8398125171661377,0.833167314529419,0.8287681341171265,0.00664520263671875,0.01104438304901123,0.0043991804122924805,0.8238547205924988,0.0077023238101945266,0.8141675591468811,0.8398125171661377,0.025644958019256592,0.009349128696689605,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,0.9817479037355078,0.9265732326292122,3,0.9265732326292122,3.0,True,0,1,1,0.3333333333333333
295,original,0.8429076075553894,0.8362410068511963,0.8268578052520752,0.006666600704193115,0.01604980230331421,0.009383201599121094,0.8222399473190307,0.009871833729342324,0.8115634918212891,0.8429076075553894,0.03134411573410034,0.012006025444920439,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9669841269841271,3,0.9669841269841271,3.0,True,0,1,1,0.3333333333333333
295,biomarker_synonym,0.8429076075553894,0.8362410068511963,0.8268578052520752,0.006666600704193115,0.01604980230331421,0.009383201599121094,0.8222399473190307,0.009871833729342324,0.8115634918212891,0.8429076075553894,0.03134411573410034,0.012006025444920439,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9669841269841271,3,0.9669841269841271,3.0,True,0,1,1,0.3333333333333333
295,biomarker_order,0.8429076075553894,0.8362410068511963,0.8268578052520752,0.006666600704193115,0.01604980230331421,0.009383201599121094,0.8222399473190307,0.009871833729342324,0.8115634918212891,0.8429076075553894,0.03134411573410034,0.012006025444920439,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9669841269841271,3,0.9669841269841271,3.0,True,0,1,1,0.3333333333333333
295,wording,0.8433787822723389,0.83665531873703,0.8278948664665222,0.006723463535308838,0.01548391580581665,0.008760452270507812,0.8234921634197235,0.00962483025061027,0.8124811053276062,0.8433787822723389,0.030897676944732666,0.011687822517510243,3.0,True,0.0,1.0,0.3333333333333333,3,5,1,1.0,0.9571075837742505,3,0.9571075837742505,3.0,True,0,1,1,0.3333333333333333
